Organization Name,Organization Type (Main Category),Organization Type (Sub-categories),Website,Country,State or Province,City,Street Address 1,Street Address 2,Postal Code,Contact First Name,Contact Last Name,Email,Organization Bio,Certified MWBE,Location
"TechStream Group Inc, DBA EarthStream",Labor Organizations,"HR Services,Labor Management Organization,Offshore Wind Worker Supply,Personnel Recruitment and Supply",www.earthstreamglobal.com,USA,New York,New York,"25 Broadway, Suite 9033",,10004,Charles,David,charles.david@earthstreamglobal.com,"A global offshore wind and energy recruitment specialist company with local offices in the heart of NYC. We have a track record of hiring skilled labor for offshore wind around the world. We have the capability to have workers in any state across the US in addition to the necessary insurances for workers to be offshore under Jones Act and OCS, etc.",No,POINT (-74.01347 40.70561)
"TechStream Group Inc, DBA EarthStream",Offshore Const./Ops. and Vessels,"Cable Laying Ship Supply,Cable Pull-in,Crew Transfer Vessel (CTV) Supply,Full-scope Offshore EPC,Jack-up Heavy Lift Vessel Supply,Marine Construction Services (Light),Multi-Purpose Support Vessel (MPSV) Supply,O&M Support Services,Offshore Logistics Provision,Offshore O&M Services,Offshore Transport Services (Heavy),Remote Operation Vessel (ROV) Supply,Subsea Cable Installation,Subsea Engineering,Vessel Crew Supply,Vessel Support Services",www.earthstreamglobal.com,USA,New York,New York,"25 Broadway, Suite 9033",,10004,Charles,David,charles.david@earthstreamglobal.com,"A global offshore wind and energy recruitment specialist company with local offices in the heart of NYC. We have a track record of hiring skilled labor for offshore wind around the world. We have the capability to have workers in any state across the US in addition to the necessary insurances for workers to be offshore under Jones Act and OCS, etc.",No,POINT (-74.01347 40.70561)
"TechStream Group Inc, DBA EarthStream",Onshore Construction Services,"Cable Pull-in,Civil Construction,Electrical Works (Electrician),Full-scope Onshore Wind EPC,Horizontal Directional Drilling (HDD),HSE Management (Construction),Manufacturing Plant Construction,Marine Terminal Construction,Mechanical Completion,Onshore Cable Installation,Onshore Substation EPC,Other Renewable Plant EPC,Pipefitting,Project Management (Construction)",www.earthstreamglobal.com,USA,New York,New York,"25 Broadway, Suite 9033",,10004,Charles,David,charles.david@earthstreamglobal.com,"A global offshore wind and energy recruitment specialist company with local offices in the heart of NYC. We have a track record of hiring skilled labor for offshore wind around the world. We have the capability to have workers in any state across the US in addition to the necessary insurances for workers to be offshore under Jones Act and OCS, etc.",No,POINT (-74.01347 40.70561)
"TechStream Group Inc, DBA EarthStream",Other Organizations,We provide full time hires and temporary skilled labor contractors to the offshore wind industry.,www.earthstreamglobal.com,USA,New York,New York,"25 Broadway, Suite 9033",,10004,Charles,David,charles.david@earthstreamglobal.com,"A global offshore wind and energy recruitment specialist company with local offices in the heart of NYC. We have a track record of hiring skilled labor for offshore wind around the world. We have the capability to have workers in any state across the US in addition to the necessary insurances for workers to be offshore under Jones Act and OCS, etc.",No,POINT (-74.01347 40.70561)
"TechStream Group Inc, DBA EarthStream",Specialist Services,"Cable Pull-in,Heavy Lift Services,HSE Management (Logistics),Information and IT Services,O&M Management,O&M Support Services,O&M Work Contractor (Specialist),Offshore Transport Services (Heavy),Offshore Wind Worker Supply,Offshore Wind-related Consulting,Offshore Wind-related Fabrication,Onshore Transport Services (Heavy),Other Consulting,Other Logistics Services,Other Specialist Services,Project Management Services,Security Services,Substation Commissioning Services,Supply Chain Management,Turbine Commissioning Services,Turbine Installation Services",www.earthstreamglobal.com,USA,New York,New York,"25 Broadway, Suite 9033",,10004,Charles,David,charles.david@earthstreamglobal.com,"A global offshore wind and energy recruitment specialist company with local offices in the heart of NYC. We have a track record of hiring skilled labor for offshore wind around the world. We have the capability to have workers in any state across the US in addition to the necessary insurances for workers to be offshore under Jones Act and OCS, etc.",No,POINT (-74.01347 40.70561)
Teke Machine Corporation,Manufacturing and Fabrication Srvcs.,Machining; precision manufacturing,www.tekemachine.com/,USA,New York,Rochester,114 West Avenue,,14611,,,,TEKE Machine Corporation is a group of machinists specializing in CNC precision machining for prototype and production requirements.,,POINT (-77.64079 43.15048)
Telsan Electric Inc.,Onshore Construction Services,Electrical Works (Electrician),Not provided,USA,New York,Centereach,26 Charles Street,,11720,,,,"Telsan Electric Inc. is a full-service electrical contractor since.They  handle multiple aspects of mid-sized electrical contracting such as generator/UPS systems, voice/data fiber cabling, security/fire alarm systems, and HVAC wiring.",,POINT (-73.08791 40.85274)
TEQ Systems LLC dba SHIP-AGENT,Consulting Services,"Information and IT Services,Logistics Planning & Management,Project Management",www.shipagent.us,USA,New York,New York,PO BOX 2742,,10008,Serge,Krasn,serge@shipagent.us,Equipment for maritime industry and services for ships including delivery of supplies on board of vessels in the ports of NY/NJ/CT.,,
TEQ Systems LLC dba SHIP-AGENT,Manufactured Products,"Chemical Products,Communications Systems,Electronics Products,Fibre Optic Cables,Fuel and Fuel Additives,Installation Equipment,Internal Cabling,Low-voltage Electrical Components,Monitoring Equipment,Navigation Aids,Other Manufactured Products,SCADA and Control Systems,Temporary and Worksite Accommodation,Vessel Equipment (General)",www.shipagent.us,USA,New York,New York,PO BOX 2742,,10008,Serge,Krasn,serge@shipagent.us,Equipment for maritime industry and services for ships including delivery of supplies on board of vessels in the ports of NY/NJ/CT.,,
TEQ Systems LLC dba SHIP-AGENT,Other Organizations,"Offshore/ship supplies, food, marine fuels, equipment delivery, installation, repair and services (marine radios, AIS, IT help).",www.shipagent.us,USA,New York,New York,PO BOX 2742,,10008,Serge,Krasn,serge@shipagent.us,Equipment for maritime industry and services for ships including delivery of supplies on board of vessels in the ports of NY/NJ/CT.,,
TEQ Systems LLC dba SHIP-AGENT,Specialist Services,"Information and IT Services,Logistics Planning & Management,Offshore Wind-related Product Supply,Project Management Services,Remote Monitoring and Control Services,Supply Chain Management",www.shipagent.us,USA,New York,New York,PO BOX 2742,,10008,Serge,Krasn,serge@shipagent.us,Equipment for maritime industry and services for ships including delivery of supplies on board of vessels in the ports of NY/NJ/CT.,,
TerraSond TX Branch Office,Consulting Services,"Construction Support,Feasibility Studies,O&M Consulting Services,Other Consulting,Other Renewable Energy Consulting,Risk Assessment,Siting and Planning,Technical Surveys (Analyse),Technical Surveys (Perform)",www.terrasond.com,USA,Texas,Houston,"16420 Park Ten Place, Suite 100",,77084,Steven,MacDonald,smacdonald@terrasond.com,"TERRASOND is an experienced multidisciplinary client-focused survey company. We deliver innovative, reliable geospatial solutions with a strong company-wide culture in HSEQ. Our highly qualified staff collects, compiles, and identifies geospatial and geophysical information to provide the best possible solution while offering the lowest risk for our clients. Local and around the globe, we excel at executing remote and challenging surveys. We have successfully completed thousands of surveys. These range from inland surveys to deep ocean seabed exploration and mapping projects. TERRASOND has experience with the cultural, regulatory, and technical issues of power generation and transmission sites. Whether from conventional or renewable sources, we understand the energies present in the environment and how they can provide both an opportunity and a challenge to harvesting and stabilizing those energies. This is key for accurate remediation planning and infrastructure longevity. Our experience and local knowledge in permitting, desk top studies and route planning, offshore cable lay positioning. Bathymetry and morphology data collection is key to the successful completion of projects on time and within budget. By teaming early in the planning process, we can de-risk the unknowns and add value that enables best decisions for best design, placement, and required integrity monitoring of power projects.",No,POINT (-95.66837 29.78704)
TerraSond TX Branch Office,Offshore Const./Ops. and Vessels,"O&M Support Services,Offshore O&M Services,Remote Operation Vessel (ROV) Supply,Subsea Surveys,Technical Surveys (Perform),Vessel Survey and Inspection",www.terrasond.com,USA,Texas,Houston,"16420 Park Ten Place, Suite 100",,77084,Steven,MacDonald,smacdonald@terrasond.com,"TERRASOND is an experienced multidisciplinary client-focused survey company. We deliver innovative, reliable geospatial solutions with a strong company-wide culture in HSEQ. Our highly qualified staff collects, compiles, and identifies geospatial and geophysical information to provide the best possible solution while offering the lowest risk for our clients. Local and around the globe, we excel at executing remote and challenging surveys. We have successfully completed thousands of surveys. These range from inland surveys to deep ocean seabed exploration and mapping projects. TERRASOND has experience with the cultural, regulatory, and technical issues of power generation and transmission sites. Whether from conventional or renewable sources, we understand the energies present in the environment and how they can provide both an opportunity and a challenge to harvesting and stabilizing those energies. This is key for accurate remediation planning and infrastructure longevity. Our experience and local knowledge in permitting, desk top studies and route planning, offshore cable lay positioning. Bathymetry and morphology data collection is key to the successful completion of projects on time and within budget. By teaming early in the planning process, we can de-risk the unknowns and add value that enables best decisions for best design, placement, and required integrity monitoring of power projects.",No,POINT (-95.66837 29.78704)
TerraSond TX Branch Office,Specialist Services,"Decommissioning Services,O&M Support Services,O&M Work Contractor (Specialist),Offshore Wind-related Consulting,Other Consulting,Other Logistics Services,Other Specialist Services",www.terrasond.com,USA,Texas,Houston,"16420 Park Ten Place, Suite 100",,77084,Steven,MacDonald,smacdonald@terrasond.com,"TERRASOND is an experienced multidisciplinary client-focused survey company. We deliver innovative, reliable geospatial solutions with a strong company-wide culture in HSEQ. Our highly qualified staff collects, compiles, and identifies geospatial and geophysical information to provide the best possible solution while offering the lowest risk for our clients. Local and around the globe, we excel at executing remote and challenging surveys. We have successfully completed thousands of surveys. These range from inland surveys to deep ocean seabed exploration and mapping projects. TERRASOND has experience with the cultural, regulatory, and technical issues of power generation and transmission sites. Whether from conventional or renewable sources, we understand the energies present in the environment and how they can provide both an opportunity and a challenge to harvesting and stabilizing those energies. This is key for accurate remediation planning and infrastructure longevity. Our experience and local knowledge in permitting, desk top studies and route planning, offshore cable lay positioning. Bathymetry and morphology data collection is key to the successful completion of projects on time and within budget. By teaming early in the planning process, we can de-risk the unknowns and add value that enables best decisions for best design, placement, and required integrity monitoring of power projects.",No,POINT (-95.66837 29.78704)
Terry Contracting and Materials Inc.,Onshore Construction Services,Marine Terminal Construction,www.terrycontracting.com/,USA,New York,Riverhead,1146 Osborn Avenue,,11901,,,,"Terry Contracting offer site work, marine construction and environmental remediation services.",,POINT (-72.68688 40.92988)
Tetra Tech,Consulting Services,Technical Surveys (Analyse); Siting and Planning; Consents and Permitting; Stakeholder Engagement; Engineering (Civil); Environmental Consulting; Environmental Impact Assessment (EIA); Regulatory Consulting,www.tetratech.com/,USA,New York,New York,5 Hanover Square,Suite 502,10004,,,,"Tetra Tech provides consulting and engineering services worldwide, for projects in the fields of water, environment, infrastructure, resource management, energy, and international development. Tetra Tech offers full environmental, engineering, construction management, and operational services for onshore wind projects and various consulting services for offshore wind.",,POINT (-74.0098 40.70486)
ThayerMahan,Other Organizations,"Monitoring, inspection, and surveying.",www.thayermahan.com,USA,Connecticut,Groton,120B Leonard Drive,,6340,Greg,Sabra,gsabra@thayermahan.com,"ThayerMahan provides innovative systems and expertise, connected by a global data platform, to help protect our nation and its vital interests.  We design, manufacture and (when desired by our customers) operate systems to collect acoustic and electronic information on the world's oceans. These systems expand coverage for government and industry partners to protect borders, natural resources, and undersea infrastructure and do so at extremely low cost compared to traditional monitoring assets.  Our unique approach includes on-the-fly invention of new first-to-market innovations, as well as the integration of both existing and emerging systems. We are disrupting the conventional models of how maritime awareness is provided, to the benefit of our valued customers. Our portfolio includes:
     Long endurance, low profile, energy harvesting unmanned vehicles
    State-of-the-art sensors, digital signal processing and automatic classification
    Confidential cloud-based data exfiltration
    Enterprise architectures that leverage robust data science, low power electronics and artificial intelligence",No,POINT (-72.04698 41.33879)
ThayerMahan,Specialist Services,"Cleaning and Maintenance,Component Storage,Logistics Planning & Management,O&M Management,Offshore Logistics Provision,Offshore Wind Worker Supply,Project Management Services,Supply Chain Management",www.thayermahan.com,USA,Connecticut,Groton,120B Leonard Drive,,6340,Greg,Sabra,gsabra@thayermahan.com,"ThayerMahan provides innovative systems and expertise, connected by a global data platform, to help protect our nation and its vital interests.  We design, manufacture and (when desired by our customers) operate systems to collect acoustic and electronic information on the world's oceans. These systems expand coverage for government and industry partners to protect borders, natural resources, and undersea infrastructure and do so at extremely low cost compared to traditional monitoring assets.  Our unique approach includes on-the-fly invention of new first-to-market innovations, as well as the integration of both existing and emerging systems. We are disrupting the conventional models of how maritime awareness is provided, to the benefit of our valued customers. Our portfolio includes:
     Long endurance, low profile, energy harvesting unmanned vehicles
    State-of-the-art sensors, digital signal processing and automatic classification
    Confidential cloud-based data exfiltration
    Enterprise architectures that leverage robust data science, low power electronics and artificial intelligence",No,POINT (-72.04698 41.33879)
The Berlin Steel Construction Company,Manufacturing and Fabrication Srvcs.,"Metal Fabrication (General),Other Metal Working",www.berlinsteel.com,USA,Connecticut,Berlin,76 Depot Road,,6037,Kimberly,Noyes,knoyes@berlinsteel.com,"Berlin Steel Construction Company types of work performed:  Fabricates and erects structural steel, miscellaneous. metals, ornamental iron and stairs.  Furnish and erect roofing and metal floor deck.   Erection of precast concrete and metal joists. Weldments in steel, trusses, bins and frames.   Supply and erect metal siding. Conducts inspection and repair of crane-ways (alignment and structural investigations).   Structural framing plans and detailing, investigations of existing buildings from old drawings.  Berlin Steel is also a representative of Girder Slab Technologies (composite and precast systems).  Berlin is a certified MM Systems Erection Foreman for Expansion Joint Systems Installation.",No,POINT (-72.76425 41.6355)
The Berlin Steel Construction Company,Onshore Construction Services,Marine Terminal Construction,www.berlinsteel.com,USA,Connecticut,Berlin,76 Depot Road,,6037,Kimberly,Noyes,knoyes@berlinsteel.com,"Berlin Steel Construction Company types of work performed:  Fabricates and erects structural steel, miscellaneous. metals, ornamental iron and stairs.  Furnish and erect roofing and metal floor deck.   Erection of precast concrete and metal joists. Weldments in steel, trusses, bins and frames.   Supply and erect metal siding. Conducts inspection and repair of crane-ways (alignment and structural investigations).   Structural framing plans and detailing, investigations of existing buildings from old drawings.  Berlin Steel is also a representative of Girder Slab Technologies (composite and precast systems).  Berlin is a certified MM Systems Erection Foreman for Expansion Joint Systems Installation.",No,POINT (-72.76425 41.6355)
The Carbon Trust,Other Organizations,Non-Government Organization (NGO); Advocacy Group,www.carbontrust.com/,UK,England,London,27-45 Stamford Street,"""4th Floor, Dorset House""",SE1 9NT,,,,"The Carbon Trust is an independent, expert partner of organizations worldwide, aiming to facilitate carbon reduction, resource efficiency strategies and the commercialization of low carbon technologies. The Carbon Trust offers strategic,  policy, technical  and market-related advice, and runs programmes such as the Offshore Wind Accelerator. The Carbon Trust has advised on New York state offshore wind development.",,
The CARIAN Group,Consulting Services,"Asset Management,Business Advisory,Construction Support,Feasibility Studies,Full-scope Project EPCI,Grid Connection,Heavy Lift Consulting,Logistics Planning & Management,O&M Consulting Services,Other Consulting,Other Renewable Energy Consulting,Project Management,Risk Assessment,Strategic Advisory",www.thecariangroup.com,USA,New Jersey,South Plainfield,"1 Cragwood Rd, Ste 300",,7080,,,,"CARIAN is a certified Woman-Owned & Small-Business Enterprise (WBE & SBE) Management Consulting and Professional Services firm, providing Consulting, Advisory and Technology Solutions. We implement project, program, and portfolio governance and delivery frameworks, enabling organizations to effectively deliver their capital projects. 

CARIAN has a proven track record working in the Utilities, Transportation, Infrastructure, Federal, Green Energy and Offshore Wind arenas, with offices in New York, New Jersey, Pennsylvania and Georgia. Our ability to maintain flexibility, while offering experience, competence, proficiency, and a ‘can do’ approach, allows you the certainty that your project will be delivered with utmost satisfaction. 

Our mission is to build rewarding, sustained relationships with our clients through quality engagements, while contributing to the long-term sustainability of the communities that we serve.",No,POINT (-74.42093 40.55203)
The CARIAN Group,Other Organizations,"We are a certified WBE/SBE minority Capital Project and Program Management firm, with services including: controls, scheduling, governance, risk management, assessments, and data analytics.",www.thecariangroup.com,USA,New Jersey,South Plainfield,"1 Cragwood Rd, Ste 300",,7080,,,,"CARIAN is a certified Woman-Owned & Small-Business Enterprise (WBE & SBE) Management Consulting and Professional Services firm, providing Consulting, Advisory and Technology Solutions. We implement project, program, and portfolio governance and delivery frameworks, enabling organizations to effectively deliver their capital projects. 

CARIAN has a proven track record working in the Utilities, Transportation, Infrastructure, Federal, Green Energy and Offshore Wind arenas, with offices in New York, New Jersey, Pennsylvania and Georgia. Our ability to maintain flexibility, while offering experience, competence, proficiency, and a ‘can do’ approach, allows you the certainty that your project will be delivered with utmost satisfaction. 

Our mission is to build rewarding, sustained relationships with our clients through quality engagements, while contributing to the long-term sustainability of the communities that we serve.",No,POINT (-74.42093 40.55203)
"The Fort Miller Co., Inc.",Manufacturing and Fabrication Srvcs.,Casting,www.fortmiller.com,USA,New York,Greenwich,688 Wilbur Ave,,12834,Craig,Rypkema,crypkema@fmgroup.com,Fort Miller is one of the largest precast concrete manufacturers in the Northeast US. We specialize in supplying custom and heavy civil precast solutions to projects throughout NY state and the Northeast. With over 70 years experience in the industry we have supplied precast to projects of all sizes.,No,POINT (-73.54199 43.0878)
"The Fort Miller Co., Inc.",Other Organizations,Precast Concrete,www.fortmiller.com,USA,New York,Greenwich,688 Wilbur Ave,,12834,Craig,Rypkema,crypkema@fmgroup.com,Fort Miller is one of the largest precast concrete manufacturers in the Northeast US. We specialize in supplying custom and heavy civil precast solutions to projects throughout NY state and the Northeast. With over 70 years experience in the industry we have supplied precast to projects of all sizes.,No,POINT (-73.54199 43.0878)
The Hilliard Corporation,Consulting Services,"Engineering (Mechanical),Engineering (Offshore Wind),Other Consulting",https://www.hilliardcorp.com/,USA,New York,Elmira,100 West Fourth Street,,14901,Spencer,Passmore,spassmore@hilliardcorp.com,"Hilliard Corporation is a world leader in motion control and filtration products. We have a proven track record of performance, reliability and value to our customers. Hilliard Corporation offers an entire range of motion control products, industrial braking systems and filtration products. Choose from our complete line of solutions to meet the needs of your specific application. With more than 110 years of experience, put us to work for your specific application or industry.",No,POINT (-76.80964 42.09522)
The Hilliard Corporation,Manufactured Products,Other Manufactured Products,https://www.hilliardcorp.com/renewable-energy/?ds=,USA,New York,Elmira,100 West Fourth Street,,14901,Spencer,Passmore,spassmore@hilliardcorp.com,"Founded in 1905, The Hilliard Corporation has evolved from a one-product business into a special-applications engineering company serving customers worldwide. The Hilliard Corporation offers motion control and filtration equipment that can be used in wind turbines. Specifically, Rotor and Yaw braking systems, as well as filtration equipment.",No,POINT (-76.80964 42.09522)
The Hilliard Corporation,Other Organizations,"caliper disc brakes, filters, filter cartridges for wind turbines. Rotor and yaw brakes (caliper disc breaks)",https://www.hilliardcorp.com/,USA,New York,Elmira,100 West Fourth Street,,14901,Spencer,Passmore,spassmore@hilliardcorp.com,"Hilliard Corporation is a world leader in motion control and filtration products. We have a proven track record of performance, reliability and value to our customers. Hilliard Corporation offers an entire range of motion control products, industrial braking systems and filtration products. Choose from our complete line of solutions to meet the needs of your specific application. With more than 110 years of experience, put us to work for your specific application or industry.",No,POINT (-76.80964 42.09522)
The Landtek Group Inc.,Onshore Construction Services,Civil Construction,www.landtekgroup.com/,USA,New York,Amityville,235 County Line Road,,11701,John,Nitti,,"The Landtek Group offer turnkey installation and maintenance services in the areas of atheltic field construction, synthetic turf, natural turf, fencing, general contracting and concrete.",,POINT (-73.42483 40.6794)
The Sherwin-Williams Company,Manufactured Products,Paints and Coatings,https://industrial.sherwin-williams.com/,USA,Ohio,Cleveland,101 W Prospect Ave,,44115,Tilly,Murray,matilda.murray@sherwin.com,"Founded in 1866, The Sherwin-Williams Company engages in the manufacture, distribution, and sale of paints, coatings, caulks, sealants, dispersions, applicators, and related products. The Sherwin-Williams Company delivers the best in paint and coatings products to the world. Every day, our more than 60,000 employees provide the energy and experience to build on our track record of success â€“ enabling us to innovate and grow in new and exciting ways. With our people as the foundation of our Company, we offer industry-leading innovation, value-added service and expertise, and differentiated distribution to our growing base of professional, industrial, commercial and consumer customers.  Sherwin-WilliamsÂ® branded products are sold  through a chain of more than 4,438 company operated stores and facilities in the United States, Canada, the Caribbean and Latin America, while  a broad range of highly engineered solutions is supplied for the construction, industrial, packaging and transportation markets in more than 120 countries around the world.",No,POINT (-81.69358 41.49763)
Thomas and Betts - ABB,Manufactured Products,"Cable Protection Systems,Low-voltage Electrical Components,Power Cables and Fittings,Switchgear",Thomas and Betts - ABB,USA,New York,Seaford,3874 Peter St,,11783,ROBERT,PETERSON,rob.peterson@us.abb.com,"ABB Thomas and Betts is a supplier for wind/solar power.

https://new.abb.com/windpower?_gl=1*1v7t6tf*_ga*NDc1MjIzOTQ4LjE2NTg5MzIxNDg.*_ga_46ZFBRSZNM*MTY1ODkzMjE0Ny4xLjAuMTY1ODkzMjE1MC4w&_ga=2.52557869.463313627.1658932148-475223948.1658932148",,POINT (-73.49119 40.70725)
Thomas Gleason Inc.,Onshore Construction Services,Civil Construction,www.thomasgleasoninc.com/index.html,USA,New York,Poughkeepsie,501 Salt Point Turnpike,,12601,,,,"Thomas Gleason Inc. owns and maintains a fleet of approximately seventy pieces of equipment which includes Excavators, Dozers, Backhoes, Tri Axle & 10 Wheel Trucks. Their main line of work is underground utilities, sitework, and heavy highway construction.",,POINT (-73.88388 41.73653)
Thomas J. Brown & Sons,Offshore Const./Ops. and Vessels,Tug Supply,www.thomasjbrownandsons.com,USA,New York,Staten Island,136 Aspinwall Street,,10307,Joyce,Brown,TJBROWNANDSONS@AOL.COM,We are a marine towing business in the New York area for the past 93 years,Yes,POINT (-74.24824 40.50447)
Thompson Advisory Group,Consulting Services,Strategic Advisory Services,www.thompsonadvisorygroup.com,USA,New York,New York,1105 Park Avenue,6A,10128,Robert,Thompson,,"The Thompson Advisory Group (TAG) is an advisory and strategy firm enabling governments and the private sector to solve global strategic problems. Our mission is to solve critical client issues resulting in a positive economic impact.  The Thompson Advisory Group helps organizations create profitable and innovative solutions that solve their customers most difficult challenges. Our results driven professionals serve clients in a variety of fields, including Defense, Energy, Health Care, Homeland Security,Information Technology and foreign governments.",,POINT (-73.95555 40.78225)
Thrustmaster of Texas,Manufactured Products,"Hydraulics Systems,Installation Equipment,Other Manufactured Products,Vessel Equipment (General)",www.Thrustmaster.net,USA,Texas,Houston,6900 Thrustmaster Dr,,77041,Adam,Jost,adam.jost@thrustmastertexas.com,"For more than 30 years, Thrustmaster of Texas, Inc. has been designing and manufacturing high quality marine propulsion equipment for vessels of all types. We have grown into a leading supplier of thrusters ranging from 75 kW to 8 MW, serving customers all over the world. Our headquarters in Houston, Texas consists of the largest thruster manufacturing factory in the world, with complete fabrication, machining, assembly and testing carried out at the facility. All thrusters are designed in-house by a complete engineering department for mechanical, hydraulic, electrical and electronic design.  Thrustmaster was involved with the Block Island Wind Farm, providing the dynamic positioning propulsion system to Durocher for their cable lay vessel to install the cable to the first and only US offshore wind farm project.",,POINT (-95.59666 29.87873)
Titan Secure inc,Other Organizations,"Security Guard Services: Access control and Surveillance to protect assets pre, during and post construction as well as ongoing security",www.titansecureinc.com,USA,New York,Islandia,1767 Veterans Memorial Hwy,,11749,Sean,Sarjoo,ssarjoo@titansecureinc.com,"Titan Secure Inc is a high quality provider of security guard services to the tri state area, licensed bonded and insured.",,POINT (-73.17883 40.80605)
"Titanium Linx Consulting, Inc.",Consulting Services,"Business Advisory,Construction Support,Consultancy Company Partnership,Due Diligence,Market Intelligence,Marketing Consulting,Other Consulting,Regulatory Consulting,Stakeholder Engagement,Strategic Advisory,Verification and Compliance",www.titaniumlinx.com,USA,New York,Uniondale,589 Newton Ave.,,11553,Margo K.,Cargill,Mcargill@titaniumlinx.com,"Titanium Linx Consulting is a diversified project impact management firm providing lead and support services in the areas of Public Relations, Government Affairs, Marketing & Communications, Business/Economic Development Strategy, Regulatory Compliance and Procurement Management to our select corporate, institutional, and government clients. Our commitment is to the integrity of every project and ensuring each engineered is to the highest standards of industry. Our collaboration is the success guarantee in any public, private, or public-private partnership venture.",Yes,POINT (-73.59632 40.69776)
Tom Kubricky Company Inc.,Onshore Construction Services,Civil Construction,Not provided,USA,New York,Gansevoort,1166 Route 9,,12831,Thomas,Kubricky,,Tom Kubricky Company Inc. is a local civil contractor.,,POINT (-73.70757 43.22106)
Tootser Seafood LLC,Offshore Const./Ops. and Vessels,not provided,Not provided,USA,New Jersey,Brick,1674 Harvard Ave.,,8724,Kurt,Deyback,tootser@comcast.net,commercial fishing,No,POINT (-74.13624 40.07298)
Top Shelf Electric Corporation,Onshore Construction Services,Electrical Works (Electrician),www.topshelfelectric.com/,USA,New York,Staten Island,3917 Amboy Road,,10308,Justin,DeLeo,,"Top Shelf Electric are an electrical and telecommunications contracting firm. Their services include electrical consulting, design-build/assist processes and technology adivsory. They work in the residential, commercial industries.",,POINT (-74.14905 40.55159)
TopCat Technology Services,Consulting Services,"Asset Management,Business Advisory,Construction Support,Consultancy Company Partnership,Engineering (Electrical),Grid Connection,Information and IT Services,O&M Consulting Services,Other Renewable Energy Consulting,Project Management,Strategic Advisory,Technical Surveys (Analyse),Technical Surveys (Perform),Technical Testing and Validation,Verification and Compliance",www.TopCatNow.com,USA,New York,Lake Grove,9 Lafayette Avenue,,11755,Charlie,Ward,charlesward3@gmail.com,"TopCat principal Charlie Ward provides consultant services to OSW and BESS developers seeking to interconnect to the NYC and Long Island transmission grids, and consults with industrial/commercial firms, underserved communities and tribal nations on energy strategy and project funding

TopCat also brokers services from other technology companies including but not limited to:

  - Onsite clean energy generation and storage, including green hydrogen and biofuel 
  - Energy efficiency and resiliency
  - Grid interconnection engineering and process support
  - Protective relay systems 
  - Drone facility inspections and analytics

 Charlie has over 25 years of project and leadership experience in all phases of electrical utility design and operations.",No,POINT (-73.12371 40.83885)
TopCat Technology Services,Other Organizations,"TopCat is an energy consultant and also a broker for services from other technology companies including:

  - Energy strategy
  - Resiliency
  - Onsite clean energy generation and storage, including green hydrogen and biofuel 
  - Grid interconnection engineering and process support
  - Protective relay systems 
  - Drone facility inspections and analytics",www.TopCatNow.com,USA,New York,Lake Grove,9 Lafayette Avenue,,11755,Charlie,Ward,charlesward3@gmail.com,"TopCat principal Charlie Ward provides consultant services to OSW and BESS developers seeking to interconnect to the NYC and Long Island transmission grids, and consults with industrial/commercial firms, underserved communities and tribal nations on energy strategy and project funding

TopCat also brokers services from other technology companies including but not limited to:

  - Onsite clean energy generation and storage, including green hydrogen and biofuel 
  - Energy efficiency and resiliency
  - Grid interconnection engineering and process support
  - Protective relay systems 
  - Drone facility inspections and analytics

 Charlie has over 25 years of project and leadership experience in all phases of electrical utility design and operations.",No,POINT (-73.12371 40.83885)
TopCat Technology Services,Specialist Services,Technical Testing and Validation,www.topcatnow.com,USA,New York,Smithtown,35 Merrimack Road,,11387,Charlie,Ward,charlie@topcatnow.com,,No,POINT (-73.16966 40.82987)
Total Safety Consulting LLC,Onshore Construction Services,HSE Management (Construction),www.totalsafety.org/,USA,New York,Long Island City,36-06 43rd Avenue,,11101,Elizabeth,Bifulco,,"Total Safety Consulting offer staffing and services for the construction industry. They have experitse in regulatory compliance and occupational health and safety with specialized areas of competency in scaffolding, hoisting and rigging, cranes, environmental issues, fall protection, concrete, public safety, fire/life safety and health and hospitals.",,POINT (-73.92827 40.74605)
TOTE Services LLC,Consulting Services,"Construction Support,Logistics Planning & Management,Marine Warranty Survey,O&M Consulting Services,Project Management,Risk Assessment,Vessel Audits,Vessel Design Consulting,Vessel Management Services",www.toteservices.com,USA,Florida,St Johns,"10401 Deerwood Park BLVD, BLDG 1 suite 1300",,32256,Paul,Fitzpatrick,pfitzpatrick@toteservices.com,"TOTE Services is a leading Jones Act Vessel/Terminal Management Company.  We specialize in the Jones Act Trade, operating a fleet of 28 vessels.  We have a robust purchasing, crewing and operational management portfolio for taking vessels from concept through construction and operation.    TOTE also manages 4 terminals in the US from Anchorage, AK to San Juan Puerto Rico.",No,POINT (-81.54683 30.24457)
TOTE Services LLC,Labor Organizations,"HR Services,Labor Management Organization,Labor Union (Operating Engineers),Personnel Recruitment and Supply",www.toteservices.com,USA,Florida,St Johns,"10401 Deerwood Park BLVD, BLDG 1 suite 1300",,32256,Paul,Fitzpatrick,pfitzpatrick@toteservices.com,"TOTE Services is a leading Jones Act Vessel/Terminal Management Company.  We specialize in the Jones Act Trade, operating a fleet of 28 vessels.  We have a robust purchasing, crewing and operational management portfolio for taking vessels from concept through construction and operation.    TOTE also manages 4 terminals in the US from Anchorage, AK to San Juan Puerto Rico.",No,POINT (-81.54683 30.24457)
